Id,Predicted
0,.sOinkRIsiGDhkasthvAnhmhlzWudnathfektDhbilfRAnhmhlRIsrcsignifikhntlI!.
1,.SAmRakHAzintRissintelhviZhnAndREdIOstEShnz.enrjIsrvisizRIlistEtAndvencrkAphthl.
2,.bRitiSkhmp?UtrbRAnzlyksinkleRAndEkRnHAvblUmdbhtkWiklIfEdid.piRIhd_.
3,.!HIsez_DEtkhngikkoRnIdtisEDht?Uzikizh?UnhvrshlvyGlijbyDhtRlIez.
4,.?etIvinAtEtIsiksHIizkhnsidrdDhtkhntRIzmOstynAmikphlithkhlfig?r_.
5,.bhtDeRpap?hleRhtIgRUslOlI.bikhztRAnzmiShnofhnWhTslhgiSkamh_pRintiGmesI_hndmhSInzkudhn.dhbhlkWOt.tok.dhbhlkWOt.tUIchDrifiShntlI!piRIhd!.
6,.DhpIphlzpaRtIkandREtmUvdintikIphziShnzhneRIhzhvphblikAdministREShn!inklUdiGHelT_ejhkEShn!!lEbr_foRhnRIlEShnzhndAgRI!.
7,..sIprvyzrztOltidDhtifHIdidhnSEzkamh@IWudbItRAnsrtUhphziShnkamh@AthlOrsAlrIkamh@DhdidntinvalvphblikkantAkt.piRIhd.
8,..inhsepRhtinshdhnt.h?UesdistRYrfyrdmhSInDenWoRniGSatshtUsmolhndydenhfydbOtsDhthpROcDhkanvY@.
9,..mItWylkamh@DI?IldDhnmenIm?UnishphlRevhn?UbandzHAzbinHhvriGrwnEtAndWhnETprsent.piRIhd_.
10,.OnlIhf?UstEtsRIkWyrhnimplYmhntkamphnsEShnfrlaktwtWrkrz.
11,..olsikstInAnhlhsinDhsrvEpRidiktiztRoGrTrdkWoRtr@DhnDhslhgiS.sekhnkWoRtr.piRIhd_.
12,.AndDEmEbIEvrlugethWEWiTDhlatnoRhvDIzphblisitImhnUvrzWiTwtdivid@hp.mhcRIlgRwnd.
13,..WylnatRUliGwtDhtDI?UeskrhnsIkuddiklynOvrtym_mistrlipskIhvsAlhmhnsezHITiGksDhjuRIizstilwt_.
14,._DhgWaRdIAHAzOnlIfiftIsevhngEts.bhtAtpIkwrz.dhzhnzhvmoRplEnzmEbIanDhgRwnd_.
15,.DhfrrmseditdhzhnkamentanitsstakRekhvhdEShnzoRrniGzesthmht.
16,.bikhzDhkhnsrvhtivpaRtIkhntROlzDhpaRlhmhnt.DhWinrhvDhtappaRtIpOstolsObikhmzpRymminhstr_.
17,.maRkitAkShnWhzinsenShlIdyjhstinWenzdEzRw.
18,.isikstIHyfhndEtisikstIfyvHyfhndEshplyizthnsidrdkhptrhbhl.piRIhd.
19,..pItrAfbeRIshksIdzmistrkhnniRindWaSiGthnezhvyspRezhdent!.
20,..foRmhnTsHIdAdshfrtnytsWitsf?rzAnWEtlos..
21,.shmitsHAvDeRphlitikhlbenhfitshvkoRs_natlIst.DhtDhpRezhdent.damhnEtsDhn?Uz.
22,.mistrkAtshnbrggsedm?UzikhndphbliSiG!oreRIhzdiznIWudfrDriksploRWiTDhmhphts.piRIhd.
23,..injAn?UeRIDIeRhbikspIkiGhmidIst.eksprt.mistrmaRcfiROzof_ryvdtitEkcaRjhvDhdelhgEShn
24,.AzmizkendhlinmistrlOsIit.swTAfrkhzsentRhlghvrnmhnt.itzlykhbig!lhmbriGtAGk!.
25,.DETiGkstElIthdEizhnIvinbetrbREkhpplEDAtinnyntInEtIsiksWindRekshlAnditsklyhntshk?Um?hlEtidDhstakpiRIhd.
26,..IvinDIhvil?hnsanDhfloRhvDhnU?oRkstakikscEnjWhztemprdbyEf?UklIvIDl@.
27,.itinvytidRezidhnsthjYnhkhmitItieRDeRdRypshgenstDhkhmphnIhnddiskhsshlUShnz.
28,..hfiShlzhntigOsthgatbhsedDhplEndignoRdrkWesttUlAndAftrentriGHhndrhneRIh@.
29,.stil_kamh@DhbukiznatintendidezEkofIHyfhntEbhldisplEpIs.piRIhd.
30,.lAstWIk!kamh_DhpRRUvIhnghvrmhntoRdrdDhtolsOvrpRhdUstbystEtHyfhnOndmynzmhstbIsOldthDhsentRhlbAGk.piRIhd!.
31,.DhfilhpInmilhteRIsedithHAdhnkhvrdhplybykamhnhstgriliztikilRItyrd?UesmEjrjenrhlsiGglhb_.
32,.DhfI?oGDhgRInoRbEsik!kaRd@WhljhmpttUfiftIfyvdalrz.
33,.!shmsoRshsedshm@hvDhlestRhdiShnhlHOldrzhvjenrhl!dhpbeljIksSeRzkudbItempthdbyDhpRaspethvkAphthlgEnz.
34,.bht.DhcynIzHyfhnbAktkhmeRh@RUzizthstRoGghstfoRsinhTRIHyfhnpaRtIRIzisthnskOhliShnkamh_hndbAkrzsEitmhstHevhROl.piRIhd.
35,.hndrDhbywtplAnkamh@shntr!intendztUbiginhkAStendrofrfrolhvelhgEnIzSeRzwtstAndiGbyfRydE.piRIhd.
36,.mistrpOlOolsOOnzDhfAkShnkhmphnI!.
37,..DhREShvsignhldfyvhvDhmaRkitssevhnkWoRtrlIdwntrnzinDhnyntInsevhntItiEtIsevhnpiRIhd.piRIhd.
38,.Andbisydz.kamh@nAmWhzhloGtymhgO.piRIhd.
39,.HwevrinkRIsiGDhkasthvRIsrcAnhmhlzSidmOthvEtRIsrcrznattUWEsDhmanmiRlIkiRIhsoRRipeditivsthdIz.
40,.penzYlHAzbhnfRediGOvrDhditElzhvmUviGDhmhnI!evrse!.
41,..lAstHyfhnmenht.mIdIEShnhtwnpsfwndrdOvrDIiSUzhvpwrHyfhnSeRiG_AndpIsHyfhnmanhtrin.piRIhd.
42,.bhtlukhlithlfrDr_dASDeRaRWEzrwnHyriGfRIziz.piRIhd!.
43,.mIntymmoRdhpaRcrzlUmenIfiRzDhtDIaprtUnhtIizfh!.
44,.HIvAl?UzDhpyplynAsetsAt.TRIbil?hndalrzsemhkOlhn_DhSip.bildiGaprEShnzht.tUbil?hndalrz.semikOlhn.AndDIothmOtiv?UnitAtmoRDhnWhnbil?hndalrz.piRIhd_.
45,.nUmrhskamRAdzWrhpYnthd.mOsthvRUmgRAcREtidfrm?UnhvrshtIzhndkamhnhstblakmEShnz.
46,.itmEbIDhtyRstRhkcrhndmhlthplisitIhvkoRprEShnzizhnDhmOstifektivfrDhf?Ucr_.
47,..joRdjbIaRkhniRADhsekhnd.WhzDEmdtiDhn?UpOsthvsIn?rvyspRezhdent.incaRjhvloGREndplEtiGinRilEtidghvrmhntRIlEShnz.
48,.DhRizhltWhzpaht!.
49,.WIkAnbIdogmAtikhbwtitpiRIhd!dhbhlkWOOt.
50,.Adzjem@hdiviZhnmAnhjrfoRhRItElr.itshdalgEt.dolgWrld.
51,..itizhphtiSinkamh-AtofhndishpYntiGikspiRIhpspiRIhd_.
52,.DEklEmDEsiksIdidinishbjektivkamh@bhtjhjsOfeR+sezDhRekrd.SOzDhsOvIetsnevrhgRIddUit_semikOlhn_iffDEdidhntkamh_WySudWE!kWeschnmaRk!.
53,.inshminsthnshzkamh@mAnhjmhntizlrniGhvDIzmItiGsUWelHyfhnplEst!mOlz.piRIhd.
54,.WIWrjenthlmenhthbwtit.piRIhd_.
55,..?UesWoRSipshndHelikaptrz_cEsthWEAndranIhnWoRSipfrmhkanhvYdhfoRkUWEtItAGkrzinDhpReZhnghlf!.
56,.DhREtiGkhnsrnolsOplEst!DhsiGghlHyfhnEHyfhn.tUsIn?rdetREtiG_hsIesekshz.tekshsgAstRAnzmiShn?UnhtonRIv?Ukamh_WiT.diRekShnansrthn.piRIhd.
57,.mOstimpoRthntlIkamh@Dhbukkamh@lykDIigzimitkamh@przentshningEjiGsrvEhvinrlEstfoRmztiDhsentrIz.dASWhnWIkhnlrndfRrmAndinjY.piRIhd.
58,.DhbRitiSphblikHhzgathn?UzdtUinjYnshclUtIleftthstoRIzezpaRthvitsReg?hlrn?UzpEprdyht..
59,.DEkhnbIHleRIhslIfhnIkamh.AzWelezHylIifektivtUlzfrsAtyr_piRIhd!.
60,..ekhnamikAghnIkamh@moRDhnRIfoRRmkamh@HAzpRydhdpOlhnztUletDhRipeRmAntlUs.piRIhd!.
61,.!DhShthlWudbIDhfrsttUliftafshnsDhnyntInEtIsikscAlhnjriksplOZhn_.
62,.WhnizDAtWIWhlHAvDhsrplhsbhtSedint..
63,.DhplAnWhzdiskhvrdAftrdikOtiGdAthkApcrdilAstWIksrestrtWentIRebhllIdrz.
64,.maRkitAkShnWhzhsenShlIdhjestiGWensdEzRAlIpiRIhd!.
65,.AndshmcEnzkamh@shcezHaldEkoRprEShnkamhSeRdinkoRprEShnAndHyhtHOtelzkoRprEShn.kamh.insistDEWhlmEkpleniGhvRUmzhvElhthlAtbaRginREts.piRIhd!.
66,.bhtbOTkhmphnIiSudbenhfitfrmhnhptrninDIYlhndhnnAcRhlgAspUzdhnts.
67,.DhgOldkaRd.WicinkRUdzhf?UhdiSnhlsrvhshzWhlnwkastsevhnIfyvdalrziz.
68,.mistryzhmhn.DIaphziShnbiznismAnsezaRnUfOizhnDhshlUShnbhtDeRizhnenIshlUShnWiTwtaRnUf!.
69,.AftrDhTrtIHyfhndEpiRIhdkamh_DhSeRzWudbIkhnvrthbhlAthlOrRiSIO..
70,..hksepthdbidzREnjdfrmsikspYntTRI~Etfyvprsent.thsikspYntfoRTRIsiksprsent.
71,..DeRaRolWIshmpAshmistAndsinikssedhfloRhspeShlist_.
72,.tUstIphfol.khnmInHyrinflEShn.hndivenchlIHyrintRistREts.
73,._DhbAGkHOldiGkhmphnIzflEtidhnhDrfiftImil?hndalrsEl@frnekst?UzdE..
74,.DhRIkol@ikspAnzanhWhsdRolhvhDrmadhlzbIganhnrlIrDisWik!.
75,.pRabhblIDhlaRjhstkhntRib?htr.thDhrniGzhptrnfrmEjrpRhdUsrz.izhn?UpEstRhkcrHAmrdwtthnDhHevhlI?Un?hnyzdhphsifiknoRTWest.
76,.inhdiShnnUklIrfRIzOnzofhninklUdrEnjnhntsDhtRIkWyrdnOklIRWephnzdiplYdhjEshnzhvDhzOn_onlAndoRAtsI.pIphldbA.
